MTOR,2475,'de novo' pyrimidine nucleobase biosynthetic process
CUL7,9820,3M complex
PRODH,5625,4-hydroxyproline catabolic process
TET2,54790,5-methylcytosine catabolic process
KAT2B,8850,A band
MYH10,4628,ADP binding
MYO9B,4650,ADP binding
MACROD2,140733,ADP-ribosylglutamate hydrolase activity
AMPD1,270,AMP deaminase activity
AMPD1,270,AMP metabolic process
GRIA1,2890,AMPA glutamate receptor activity
NLGN1,22871,AMPA glutamate receptor clustering
GRIA1,2890,AMPA glutamate receptor complex
MYO9B,4650,ARF protein signal transduction
ADCY3,109,ATP binding
AGAP2,116986,ATP binding
ATP10A,57194,ATP binding
ATP2B2,491,ATP binding
BTAF1,9044,ATP binding
CCT4,10575,ATP binding
CDC42BPB,9578,ATP binding
EP400,57634,ATP binding
GPHN,10243,ATP binding
FGFR1,2260,ATP binding
KCNJ10,3766,ATP binding
KIF14,9928,ATP binding
MET,4233,ATP binding
MTOR,2475,ATP binding
MYH10,4628,ATP binding
MYO5A,4644,ATP binding
MYO9B,4650,ATP binding
NAV2,89797,ATP binding
NUAK1,9891,ATP binding
P2RX5,5026,ATP binding
PAK2,5062,ATP binding
PRKCB,5579,ATP binding
PRKD2,25865,ATP binding
SMARCA4,6597,ATP binding
TAOK2,9344,ATP binding
KCNJ10,3766,ATP-activated inward rectifier potassium channel activity
SMARCA4,6597,ATP-dependent chromatin remodeling
KIF14,9928,"ATP-dependent microtubule motor activity, plus-end-directed"
SAE1,10055,ATP-dependent protein binding
KIF14,9928,ATPase activity
MYH10,4628,ATPase activity
MYO9B,4650,ATPase activity
TRPC6,7225,ATPase binding
ATP2B2,491,ATPase-coupled cation transmembrane transporter activity
ATP10A,57194,ATPase-coupled intramembrane lipid transporter activity
KAT2B,8850,Ada2/Gcn5/Ada3 transcription activator complex
CHRNA7,1139,B cell activation
PRKCB,5579,B cell activation
PHB,5245,B cell activation
PRKCB,5579,B cell receptor signaling pathway
SMAD4,4089,BMP signaling pathway
USP15,9958,BMP signaling pathway
ITGB3,3690,C-X3-C chemokine binding
CNOT1,23019,CCR4-NOT complex
CNOT1,23019,CCR4-NOT core complex
PHB,5245,CD40 signaling pathway
GRIA1,2890,COPII vesicle coating
TRAPPC9,83696,COPII vesicle coating
DDHD2,23259,COPII-coated ER to Golgi transport vesicle
LEO1,123169,Cdc73/Paf1 complex
CUL7,9820,Cul7-RING ubiquitin ligase complex
SNX5,27131,D1 dopamine receptor binding
AKAP9,10142,DNA binding
BTAF1,9044,DNA binding
DLX3,1747,DNA binding
EP400,57634,DNA binding
HIVEP3,59269,DNA binding
HMGN1,3150,DNA binding
ILF2,3608,DNA binding
KAT6A,7994,DNA binding
KDM5C,8242,DNA binding
OTUD7A,161725,DNA binding
SET,6418,DNA binding
SMAD4,4089,DNA binding
SMARCA4,6597,DNA binding
SPEN,23013,DNA binding
TAF6,6878,DNA binding
TET2,54790,DNA binding
PHB,5245,DNA biosynthetic process
CNOT1,23019,"DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest"
TET2,54790,DNA demethylation
ANXA1,301,DNA duplex unwinding
NAV2,89797,DNA duplex unwinding
NAV2,89797,DNA helicase activity
KAT6A,7994,DNA packaging
SMARCA4,6597,DNA polymerase binding
EMSY,56946,DNA repair
SUPT16H,11198,DNA repair
UBR5,51366,DNA repair
USP45,85015,DNA repair
SET,6418,DNA replication
SUPT16H,11198,DNA replication
SUPT16H,11198,DNA replication-independent nucleosome organization
DLX3,1747,"DNA-binding transcription activator activity, RNA polymerase II-specific"
SHOX,6473,"DNA-binding transcription activator activity, RNA polymerase II-specific"
SMAD4,4089,"DNA-binding transcription activator activity, RNA polymerase II-specific"
