ADSS2,159,'de novo' AMP biosynthetic process
ABAT,18,(S)-3-amino-2-methylpropionate transaminase activity
PAFAH1B2,5049,1-alkyl-2-acetylglycerophosphocholine esterase activity
PAFAH1B2,5049,1-alkyl-2-acetylglycerophosphocholine esterase complex
PIK3CG,5294,1-phosphatidylinositol-3-kinase activity
PIK3CG,5294,1-phosphatidylinositol-4-phosphate 3-kinase activity
HSD11B1,3290,11-beta-hydroxysteroid dehydrogenase (NADP+) activity
HSD11B1,3290,11-beta-hydroxysteroid dehydrogenase [NAD(P)] activity
KIF13B,23303,14-3-3 protein binding
FXN,2395,"2 iron, 2 sulfur cluster binding"
PDE1C,5137,"3',5'-cyclic-nucleotide phosphodiesterase activity"
YTHDC2,64848,3'-5' RNA helicase activity
ENPP1,5167,3'-phosphoadenosine 5'-phosphosulfate binding
HS3ST5,222537,3'-phosphoadenosine 5'-phosphosulfate binding
ENPP1,5167,3'-phosphoadenosine 5'-phosphosulfate metabolic process
ELOVL2,54898,3-oxo-arachidoyl-CoA synthase activity
ELOVL2,54898,3-oxo-cerotoyl-CoA synthase activity
ELOVL2,54898,3-oxo-lignoceronyl-CoA synthase activity
DPYD,1806,"4 iron, 4 sulfur cluster binding"
ABAT,18,4-aminobutyrate transaminase activity
ABAT,18,4-aminobutyrate transaminase complex
ABAT,18,4-aminobutyrate:2-oxoglutarate transaminase activity
FAN1,22909,5'-3' exonuclease activity
XRCC6,2547,5'-deoxyribose-5-phosphate lyase activity
FAN1,22909,5'-flap endonuclease activity
POT1,25913,8-hydroxy-2'-deoxyguanosine DNA binding
HDAC4,9759,A band
KCND2,3751,A-type (transient outward) potassium channel activity
KCND3,3752,A-type (transient outward) potassium channel activity
ATP1A1,476,ADP binding
BST1,683,ADP-ribosyl cyclase activity
ADSS2,159,AMP biosynthetic process
ADK,132,AMP salvage
TBC1D5,9779,AP-2 adaptor complex
TBC1D5,9779,AP-2 adaptor complex binding
ABCA10,10349,ATP binding
ABCA13,154664,ATP binding
ABCA7,10347,ATP binding
ADCY5,111,ATP binding
ADK,132,ATP binding
ATP1A1,476,ATP binding
ATP1A3,478,ATP binding
CACNA1B,774,ATP binding
CAMK2A,815,ATP binding
CAMK4,814,ATP binding
CHD1,1105,ATP binding
CLCN4,1183,ATP binding
CMPK2,129607,ATP binding
CSNK1E,1454,ATP binding
CSNK2A1,1457,ATP binding
DDX53,168400,ATP binding
DNAH10,196385,ATP binding
DNAH17,8632,ATP binding
DNAH3,55567,ATP binding
EIF4G1,1981,ATP binding
EPHB2,2048,ATP binding
ENPP1,5167,ATP binding
FRK,2444,ATP binding
KATNAL1,84056,ATP binding
KIF13B,23303,ATP binding
KIF5C,3800,ATP binding
MAPK3,5595,ATP binding
MARK1,4139,ATP binding
MCM4,4173,ATP binding
MCM6,4175,ATP binding
MYH4,4622,ATP binding
MYO16,23026,ATP binding
MYO1E,4643,ATP binding
MYO5C,55930,ATP binding
MYLK,4638,ATP binding
NTRK1,4914,ATP binding
NTRK3,4916,ATP binding
PAPOLG,64895,ATP binding
PDK2,5164,ATP binding
PRKCA,5578,ATP binding
PRKDC,5591,ATP binding
PIK3CG,5294,ATP binding
RPS6KA2,6196,ATP binding
RPS6KA3,6197,ATP binding
SMC3,9126,ATP binding
STYK1,55359,ATP binding
SYN1,6853,ATP binding
SYN2,6854,ATP binding
STK39,27347,ATP binding
TTN,7273,ATP binding
UBE2H,7328,ATP binding
WNK3,65267,ATP binding
YTHDC2,64848,ATP binding
XRCC6,2547,ATP binding
ENPP1,5167,ATP metabolic process
MYH4,4622,ATP metabolic process
SLC25A12,8604,ATP transmembrane transporter activity
SLC25A12,8604,ATP transport
CECR2,27443,ATP-dependent chromatin remodeling
MBD3,53615,ATP-dependent chromatin remodeling
DNAH10,196385,"ATP-dependent microtubule motor activity, minus-end-directed"
DNAH17,8632,"ATP-dependent microtubule motor activity, minus-end-directed"
DNAH3,55567,"ATP-dependent microtubule motor activity, minus-end-directed"
KIF5C,3800,"ATP-dependent microtubule motor activity, plus-end-directed"
STX1A,6804,ATP-dependent protein binding
ABCA10,10349,ATPase activity
ABCA7,10347,ATPase activity
KATNAL1,84056,ATPase activity
KIF13B,23303,ATPase activity
KIF5C,3800,ATPase activity
MYH4,4622,ATPase activity
MYO1E,4643,ATPase activity
AR,367,ATPase binding
ATP6V0A2,23545,ATPase binding
PLN,5350,ATPase binding
PLN,5350,ATPase inhibitor activity
ABCA10,10349,ATPase-coupled transmembrane transporter activity
ABCA13,154664,ATPase-coupled transmembrane transporter activity
ABCA7,10347,ATPase-coupled transmembrane transporter activity
CACNA1G,8913,AV node cell action potential
CACNA1G,8913,AV node cell to bundle of His cell signaling
YEATS2,55689,Ada2/Gcn5/Ada3 transcription activator complex
TBC1D5,9779,Atg1/ULK1 kinase complex
HDAC4,9759,B cell activation
CARD11,84433,B cell differentiation
HDAC4,9759,B cell differentiation
NTRK1,4914,B cell differentiation
PTPRC,5788,B cell differentiation
MEF2C,4208,B cell homeostasis
PRKDC,5591,B cell lineage commitment
CARD11,84433,B cell proliferation
MEF2C,4208,B cell proliferation
PTPRC,5788,B cell proliferation
CD38,952,B cell receptor signaling pathway
MEF2C,4208,B cell receptor signaling pathway
PTPRC,5788,B cell receptor signaling pathway
BBS4,585,BBSome
SNAP25,6616,BLOC-1 complex
MAPK3,5595,BMP signaling pathway
SMURF1,57154,BMP signaling pathway
USP9Y,8287,BMP signaling pathway
MSX2,4488,BMP signaling pathway involved in heart development
UIMC1,51720,BRCA1-A complex
BRCA2,675,BRCA2-MAGE-D1 complex
MAPK3,5595,Bergmann glial cell differentiation
CX3CR1,1524,C-C chemokine binding
CX3CR1,1524,C-C chemokine receptor activity
CX3CR1,1524,C-X3-C chemokine binding
CX3CR1,1524,C-X3-C chemokine receptor activity
AGBL4,84871,C-terminal protein deglutamylation
CYP11B1,1584,C21-steroid hormone biosynthetic process
TSPOAP1,9256,C21-steroid hormone biosynthetic process
SLC4A10,57282,CA3 pyramidal cell dendrite
CARD11,84433,CARD domain binding
CARD11,84433,CBM complex
HLA-DRB1,3123,CD4 receptor binding
HLA-A,3105,CD8 receptor binding
HLA-G,3135,CD8 receptor binding
HLA-A,3105,"CD8-positive, alpha-beta T cell activation"
CECR2,27443,CERF complex
NPAS2,4862,CLOCK-BMAL transcription complex
MCM4,4173,CMG complex
MCM6,4175,CMG complex
DIPK2A,205428,COPI vesicle coat
TRAPPC2L,51693,COPII vesicle coating
SYNCRIP,10492,CRD-mediated mRNA stability complex
SYNCRIP,10492,CRD-mediated mRNA stabilization
ANKS1B,56899,Cajal body
XPO1,7514,Cajal body
KCTD13,253980,Cul3-RING ubiquitin ligase complex
SLC1A1,6505,D-aspartate import across plasma membrane
SLC1A1,6505,D-aspartate transmembrane transporter activity
SLC1A1,6505,D-aspartate transport
DRD3,1814,D1 dopamine receptor binding
GNAS,2778,D1 dopamine receptor binding
PPP1R1B,84152,D1 dopamine receptor binding
PPP1R1B,84152,D2 dopamine receptor binding
PPP1R1B,84152,D3 dopamine receptor binding
PPP1R1B,84152,D4 dopamine receptor binding
PPP1R1B,84152,D5 dopamine receptor binding
POT1,25913,DEAD/H-box RNA helicase binding
PTPRC,5788,DN2 thymocyte differentiation
MBD4,8930,DNA N-glycosylase activity
ARID2,196528,DNA binding
CHD1,1105,DNA binding
ESR2,2100,DNA binding
ERG,2078,DNA binding
GTF2I,2969,DNA binding
H2BC11,8970,DNA binding
MBD1,4152,DNA binding
MBD3,53615,DNA binding
MBD4,8930,DNA binding
MBD6,114785,DNA binding
MTF1,4520,DNA binding
NFIB,4781,DNA binding
NPAS2,4862,DNA binding
PBX1,5087,DNA binding
POLA2,23649,DNA binding
POLR3A,11128,DNA binding
RHOXF1,158800,DNA binding
SETDB1,9869,DNA binding
SETDB2,83852,DNA binding
SSRP1,6749,DNA binding
TBX22,50945,DNA binding
